state,metric,stand_size_class,estimate,se,se_percent,plot_count,report_years
RI,volume,Nonstocked,28438.34768238893,33429.16129732325,117.5495906818278,1,2019;2020;2021;2022;2023;2024;2025
RI,mortality,Large diameter,22800638.62268263,2628156.940974447,11.526681267426836,71,2019;2020;2021;2022;2023;2024;2025
RI,mortality,Medium diameter,2216940.2708195173,924736.0263973896,41.71226616112442,13,2019;2020;2021;2022;2023;2024;2025
RI,mortality,Small diameter,1105132.039918615,1013679.2138682102,91.72471498906684,3,2019;2020;2021;2022;2023;2024;2025
RI,mortality,Nonstocked,0.0,0.0,,0,2019;2020;2021;2022;2023;2024;2025
RI,biomass,Large diameter,26107068.81889777,1638981.7240797754,6.277923176474672,105,2019;2020;2021;2022;2023;2024;2025
RI,biomass,Medium diameter,2924520.265117134,715009.2018979079,24.44876892891936,23,2019;2020;2021;2022;2023;2024;2025
RI,biomass,Small diameter,207282.2083330993,133488.70819134824,64.39950117514861,6,2019;2020;2021;2022;2023;2024;2025
RI,biomass,Nonstocked,580.9387495207495,682.8911221737699,117.5495906818278,1,2019;2020;2021;2022;2023;2024;2025
RI,growth,Large diameter,4903155.141627576,2681697.9768248624,54.69331276217149,87,2019;2020;2021;2022;2023;2024;2025
RI,growth,Medium diameter,2802222.4612581925,989222.5524480344,35.30135690953941,20,2019;2020;2021;2022;2023;2024;2025
RI,growth,Small diameter,-800245.8234909797,859979.935641877,-107.46447034116515,5,2019;2020;2021;2022;2023;2024;2025
RI,growth,Nonstocked,749.5992770060504,888.8762973004323,118.58019672199572,1,2019;2020;2021;2022;2023;2024;2025
RI,removals,Large diameter,6045375.990333791,2874985.982338288,47.55677706291925,11,2019;2020;2021;2022;2023;2024;2025
RI,removals,Medium diameter,522910.92005384254,621461.7725853579,118.84658528863154,2,2019;2020;2021;2022;2023;2024;2025
RI,removals,Small diameter,0.0,0.0,,0,2019;2020;2021;2022;2023;2024;2025
RI,removals,Nonstocked,0.0,0.0,,0,2019;2020;2021;2022;2023;2024;2025
RI,sawlog,Large diameter,3105153048.490113,264259088.7311945,8.510340218485881,101,2019;2020;2021;2022;2023;2024;2025
RI,sawlog,Medium diameter,128928531.20983082,37200068.29013959,28.853247563641744,17,2019;2020;2021;2022;2023;2024;2025
RI,sawlog,Small diameter,3718221.546142194,3115276.764821576,83.78405445081137,2,2019;2020;2021;2022;2023;2024;2025
RI,area,Large diameter,316543.8024001246,16433.366170914123,5.191498315971343,107,2019;2020;2021;2022;2023;2024;2025
RI,area,Medium diameter,48491.00277486718,11158.200613898753,23.010867945346003,23,2019;2020;2021;2022;2023;2024;2025
RI,area,Small diameter,12054.337352112714,5398.417406156064,44.784024608452704,6,2019;2020;2021;2022;2023;2024;2025
RI,area,Nonstocked,2323.504955417892,2122.9663210206945,91.36913248540375,2,2019;2020;2021;2022;2023;2024;2025
SC,volume,Large diameter,32419105382.809868,656531003.7540654,2.0251360918250043,1760,2017;2018;2019;2020;2021;2022;2023;2024;2025
SC,volume,Medium diameter,5939132960.262882,263928512.5489761,4.443889610063451,685,2017;2018;2019;2020;2021;2022;2023;2024;2025
SC,volume,Small diameter,959803990.5033344,65625986.39162507,6.837436293342551,420,2017;2018;2019;2020;2021;2022;2023;2024;2025
